etid,company,country,year,date,fine_eur,sector,articles,tier,violation_type,authority,turnover_eur,turnover_year,turnover_basis,turnover_source,turnover_origin,is_financial,confidence,index,url,source_url,row_source,articles_raw,eprivacy
ETid-2769,Address Broker,Austria,2021,2021-09-28,500000,Industry and Commerce,Art. 12,4%,Insufficient fulfilment of data subjects rights,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-2769,https://360.lexisnexis.at/d/entscheidungen_ris/bvwg_w137_2248575_1/u_verwaltung_BVwG_2024_BVWGT_20240418_W_cfda6df51d?searchid=20250610155345637&page=1&index=1&origin=rl&rlclick=title&originview=Full,powerbi-export-2026-09-20,Art. 12 GDPR,
ETid-3143,Advertising Agency,Austria,2026,2026-03-24,6300,Industry and Commerce,Art. 5|Art. 6|Art. 13,4%,Insufficient legal basis for data processing,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-3143,https://www.ris.bka.gv.at/Dokumente/Bvwg/BVWGT_20260324_W298_2323263_1_00/BVWGT_20260324_W298_2323263_1_00.pdf,powerbi-export-2026-09-20,"Art. 5 (1) GDPR, Art. 6 (1) GDPR, Art. 13 GDPR",
ETid-871,Austrian Post,Austria,2021,2021-09-28,9500000,Transportation and Energy,Art. 12,4%,Insufficient fulfilment of data subjects rights,Austrian Data Protection Authority (dsb),2189200000.0,,legacy,,carried-by-etid,,legacy,0.004339484743285218,https://www.enforcementtracker.com/ETid-871,"https://news.post.at/presse/de/post/id/1711838/DATENSCHUTZVERFAHREN%20DER%20ÖSTERREICHISCHEN%20POST,",powerbi-export-2026-09-20,Art. 12 (2) GDPR,
ETid-96,Austrian Post,Austria,2019,2019-10-29,16000000,Transportation and Energy,Art. 5|Art. 6,4%,Insufficient legal basis for data processing,Austrian Data Protection Authority (dsb),2189200000.0,,legacy,,carried-by-etid,,legacy,0.0073086058834277365,https://www.enforcementtracker.com/ETid-96,https://360.lexisnexis.at/d/entscheidungen-ris/bvwg_w258_2227269_1/u_verwaltung_BVwG_2024_BVWGT_20241227_W_7e8b9a258f,powerbi-export-2026-09-20,"Art. 5 (1) a) GDPR, Art. 6 GDPR",
ETid-2976,Bakery Chain,Austria,2025,2025-09-05,33500,Industry and Commerce,Art. 5|Art. 6,4%,Non-compliance with general data processing principles,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-2976,https://dsb.gv.at/sites/site0344/media/downloads/dsb-newsletter_nr._03_25_dezember_2025.pdf,powerbi-export-2026-09-20,"Art. 5 (1) a), c) GDPR, Art. 6 (1), (4) GDPR",
ETid-372,Bank,Austria,2020,2020-08-05,100,"Finance, Insurance and Consulting",Art. 5|Art. 6,4%,Insufficient legal basis for data processing,Austrian Data Protection Authority (dsb),1878000000.0,,legacy,,carried-by-etid,,legacy,5.324813631522897e-08,https://www.enforcementtracker.com/ETid-372,https://www.dsb.gv.at/documents/22758/115212/Newsletter_DSB_3_2020.pdf/90579856-6cb5-4206-823a-cacc724cf94e,powerbi-export-2026-09-20,"Art. 5 GDPR, Art. 6 GDPR",
ETid-1,Betting place,Austria,2018,2018-12-09,4800,Industry and Commerce,Art. 13,4%,Insufficient fulfilment of information obligations,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-1,https://www.dsb.gv.at/documents/22758/116802/Straferkenntnis+DSB-D550.038+0003-DSB+2018.pdf/fb0bb313-8651-44ac-a713-c286d83e3f19,powerbi-export-2026-09-20,Art. 13 GDPR,
ETid-2731,Car Park Management Company,Austria,2025,2025-06-03,16000,Industry and Commerce,Art. 31,2%,Insufficient cooperation with supervisory authority,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-2731,https://www.ris.bka.gv.at/Dokument.wxe?Abfrage=Dsk&Entscheidungsart=Undefined&Organ=Undefined&SucheNachRechtssatz=True&SucheNachText=True&GZ=2025-0.177.424&VonDatum=01.01.1990&BisDatum=13.06.2025&Norm=&ImRisSeitVonDatum=&ImRisSeitBisDatum=&ImRisSeit=Undefined&ResultPageSize=100&Suchworte=&Position=1&SkipToDocumentPage=true&ResultFunctionToken=276cd361-58e6-4a59-9fae-ddce592b18fe&Dokumentnummer=DSBT_20250603_2025_0_177_424_00,powerbi-export-2026-09-20,Art. 31 GDPR,
ETid-2772,Company,Austria,2024,2024-08-16,1500000,Industry and Commerce,,,Unknown,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-2772,https://dsb.gv.at/sites/site0344/media/downloads/datenschutzbericht_2024.pdf,powerbi-export-2026-09-20,Unknown,
ETid-2773,Company,Austria,2024,2024-10-16,5000,Not assigned,Art. 38,2%,Lack of appointment of data protection officer,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-2773,https://dsb.gv.at/sites/site0344/media/downloads/datenschutzbericht_2024.pdf,powerbi-export-2026-09-20,Art. 38 GDPR,
