Group,Group link,Date,Issuer,Type,Status,Title,Articles concerned,Topics,Document URL,Digest entry link
The Regulation and its amendment,https://simeonatanasov.com/ai-act-digest.html#ai-the-regulation-and-its-amendment,5 March 2025,European Commission,delegated-or-implementing-act,in force,Commission Implementing Regulation (EU) 2025/454 on the scientific panel of independent experts,"Art 68, Art 90","governance, gpai",https://digital-strategy.ec.europa.eu/en/policies/ai-scientific-panel,https://simeonatanasov.com/ai-act-digest.html#doc-32
The Regulation and its amendment,https://simeonatanasov.com/ai-act-digest.html#ai-the-regulation-and-its-amendment,13 June 2024,European Parliament and Council,regulation,in force,Regulation (EU) 2024/1689 laying down harmonised rules on artificial intelligence (AI Act),"Art 1-113, Annex I, Annex III, Annex IV","scope, high-risk-classification, governance",https://eur-lex.europa.eu/eli/reg/2024/1689/oj,https://simeonatanasov.com/ai-act-digest.html#doc-01
The Regulation and its amendment,https://simeonatanasov.com/ai-act-digest.html#ai-the-regulation-and-its-amendment,8 July 2026,European Parliament and Council,regulation,in force,Regulation (EU) 2026/1744 amending the AI Act (Digital Omnibus on AI),"Art 4-6, Art 50, Art 74-75, Art 111-113","high-risk-classification, prohibitions, governance",https://eur-lex.europa.eu/eli/reg/2026/1744/oj/eng,https://simeonatanasov.com/ai-act-digest.html#doc-02
Commission guidelines and Q&As,https://simeonatanasov.com/ai-act-digest.html#ai-commission-guidelines-and-q-as,27 July 2026,European Commission (AI Office),qa,final,AI Act Service Desk FAQ category on the Digital Omnibus on AI,"Art 4, Art 49, Art 75, Art 113","governance, scope",https://ai-act-service-desk.ec.europa.eu/en/faq?combine=&faq_category_id=99,https://simeonatanasov.com/ai-act-digest.html#doc-23
Commission guidelines and Q&As,https://simeonatanasov.com/ai-act-digest.html#ai-commission-guidelines-and-q-as,27 July 2026,European Commission,qa,final,AI literacy questions and answers (updated for the Digital Omnibus),"Art 4, Art 62(3)","literacy, deployer-duties",https://digital-strategy.ec.europa.eu/en/faqs/ai-literacy-questions-answers,https://simeonatanasov.com/ai-act-digest.html#doc-13
Commission guidelines and Q&As,https://simeonatanasov.com/ai-act-digest.html#ai-commission-guidelines-and-q-as,4 February 2025,European Commission,commission-guidelines,final,Commission Guidelines on prohibited artificial intelligence practices,Art 5,prohibitions,https://digital-strategy.ec.europa.eu/en/library/commission-publishes-guidelines-prohibited-artificial-intelligence-ai-practices-defined-ai-act,https://simeonatanasov.com/ai-act-digest.html#doc-07
Commission guidelines and Q&As,https://simeonatanasov.com/ai-act-digest.html#ai-commission-guidelines-and-q-as,6 February 2025,European Commission,commission-guidelines,final,Commission Guidelines on the definition of an AI system,"Art 3(1), Art 96",scope,https://digital-strategy.ec.europa.eu/en/library/commission-publishes-guidelines-ai-system-definition-facilitate-first-ai-acts-rules-application,https://simeonatanasov.com/ai-act-digest.html#doc-08
Commission guidelines and Q&As,https://simeonatanasov.com/ai-act-digest.html#ai-commission-guidelines-and-q-as,18 July 2025,European Commission,commission-guidelines,final,Commission Guidelines on the scope of obligations for providers of general-purpose AI models,"Art 3(63), Art 51-55, Art 111(3)","gpai, provider-duties",https://digital-strategy.ec.europa.eu/en/policies/guidelines-gpai-providers,https://simeonatanasov.com/ai-act-digest.html#doc-09
Commission guidelines and Q&As,https://simeonatanasov.com/ai-act-digest.html#ai-commission-guidelines-and-q-as,20 July 2026,European Commission,commission-guidelines,final,Commission Guidelines on transparency obligations for providers and deployers of certain AI systems (Article 50),"Art 50, Art 111(4)","transparency, provider-duties, deployer-duties",https://digital-strategy.ec.europa.eu/en/library/guidelines-transparency-obligations-providers-and-deployers-ai-systems,https://simeonatanasov.com/ai-act-digest.html#doc-19
Commission guidelines and Q&As,https://simeonatanasov.com/ai-act-digest.html#ai-commission-guidelines-and-q-as,19 May 2026,European Commission,commission-guidelines,draft,Draft Commission Guidelines on the classification of high-risk AI systems,"Art 6, Annex I, Annex III, Art 25",high-risk-classification,https://digital-strategy.ec.europa.eu/en/library/draft-commission-guidelines-classification-high-risk-ai-systems,https://simeonatanasov.com/ai-act-digest.html#doc-15
