Date,Type,Title,Rating (R relevant / B background / N not relevant),Where it lands on the site,URL
07 July 2026,Other guidance,Template for Cross-Regulatory Cooperation Agreements,N,,https://www.edpb.europa.eu/documents/other-guidance/template-for-cross-regulatory-cooperation-agreements_en
07 July 2026,Opinion of the Board (Art. 64),Opinion 21/2026 on the draft decision of the Irish Supervisory Authority regarding the Controller Binding Corporate Rules of the Flutter Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-212026-on-the-draft-decision-of-the-irish-supervisory_en
07 July 2026,Opinion of the Board (Art. 64),Opinion 20/2026 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the Fluor Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-202026-on-the-draft-decision-of-the-dutch-supervisory_en
07 July 2026,Guideline,Guidelines 02/2025 on processing of personal data through blockchain technologies,N,,https://www.edpb.europa.eu/documents/guideline/guidelines-022025-on-processing-of-personal-data-through-blockchain_en
08 June 2026,Opinion of the Board (Art. 64),Opinion 19/2026 on the draft decision of the Dutch Supervisory Authority regarding the Processor Binding Corporate Rules of the Rubrik Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-192026-on-the-draft-decision-of-the-dutch-supervisory_en
08 June 2026,Opinion of the Board (Art. 64),Opinion 18/2026 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the Rubrik Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-182026-on-the-draft-decision-of-the-dutch-supervisory_en
28 May 2026,EDPB Binding Decisions,Binding Decision 1/2026 on the dispute submitted by the Belgian SA on Vlaamse Radio-en Televisieomroeporganisatie (VRT) (Art. 65 GDPR),N,,https://www.edpb.europa.eu/documents/edpb-binding-decisions/binding-decision-12026-on-the-dispute-submitted-by-the-belgian-sa_en
26 May 2026,Support Pool of Experts,One-Stop-Shop case digest on right to object and right to erasure,R,Topic 8; LIA objection factor,https://www.edpb.europa.eu/documents/support-pool-of-experts/one-stop-shop-case-digest-on-right-to-object-and-right-to-erasure_en
11 May 2026,Opinion of the Board (Art. 64),Opinion 16/2026 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the Infor Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-162026-on-the-draft-decision-of-the-dutch-supervisory_en
11 May 2026,Opinion of the Board (Art. 64),Opinion 17/2026 on the draft decision of the Dutch Supervisory Authority regarding the Processor Binding Corporate Rules of the Infor Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-172026-on-the-draft-decision-of-the-dutch-supervisory_en
05 May 2026,Other policy document,EDPB Comments on the European Commission's draft measures in the specification proceedings concerning Alphabet's compliance with Article 6(11) Digital Markets Act,N,,https://www.edpb.europa.eu/documents/other-policy-document/edpb-comments-on-the-european-commissions-draft-measures-in-the-alphabet-dma-case_en_en
27 April 2026,Opinion of the Board (Art. 64),Opinion 9/2026 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the Jacobs Douwe Egberts Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-92026-on-the-draft-decision-of-the-dutch-supervisory_en
27 April 2026,Opinion of the Board (Art. 64),Opinion 10/2026 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the SLB Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-102026-on-the-draft-decision-of-the-dutch-supervisory_en
27 April 2026,Opinion of the Board (Art. 64),Opinion 12/2026 on the draft decision of the Spanish Supervisory Authority regarding the Controller Binding Corporate Rules of the Santander Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-122026-on-the-spanish_en
27 April 2026,Opinion of the Board (Art. 64),Opinion 11/2026 on the draft decision of the Belgian Supervisory Authority regarding the Controller Binding Corporate Rules of the Kuwait Petroleum Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-112026-on-the-belgian_en
24 April 2026,Support Pool of Experts,Report on the use of SPE external experts in 2025,N,,https://www.edpb.europa.eu/documents/support-pool-of-experts/report-on-the-use-of-spe-external-experts-in-2025_en
16 April 2026,Opinion of the Board (Art. 64),Opinion 14/2026 on the Europrivacy certification criteria regarding their approval by the Board as European Data Protection Seal pursuant to Article 42.5 GDPR,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-142026-on-the-europrivacy-certification-criteria_en
16 April 2026,Opinion of the Board (Art. 64),Opinion 15/2026 on the Europrivacy certification criteria regarding their approval by the Board as European Data Protection Seal to be used as tool for transfers pursuant to Articles 42 and 46 GDPR,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-152026-on-the-europrivacy-certification-criteria_en
15 April 2026,Opinion of the Board (Art. 64),Opinion 13/2026 on the draft decision of the Office of the Data Protection Ombudsman (FI SA) regarding the approval of the requirement for accreditation of a certification body pursuant to Article 43(3) GDPR,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-132026-on-the-office-of-the_en
09 April 2026,"Reports, statements, and letters",EDPB Annual Report 2025,N,Institutional report,https://www.edpb.europa.eu/documents/reports-statements-and-letters/edpb-annual-report-2025_en
27 March 2026,"Reports, statements, and letters",Report on stakeholder event on processing of personal data to target or deliver political advertisements,B,Topic 18,https://www.edpb.europa.eu/documents/reports-statements-and-letters/report-on-stakeholder-event-on-processing-of-personal-data_en
26 March 2026,Support Pool of Experts,"One-Stop-Shop case digest on the legal basis of ""legitimate interest""",R,LIA tool,https://www.edpb.europa.eu/documents/support-pool-of-experts/one-stop-shop-case-digest-on-the-legal-basis-of-legitimate_en
19 March 2026,Legislative opinion,EDPB-EDPS Joint Opinion 4/2026 on the Proposal for a Cybersecurity Act 2 and the Proposal on amendments to the NIS 2 Directive,B,Topic 16 NIS2 incident windows,https://www.edpb.europa.eu/documents/legislative-opinion/edpb-edps-joint-opinion-42026-on-the-proposal-for-a-cybersecurity-act_en
12 March 2026,Legislative opinion,EDPB-EDPS Joint Opinion 3/2026 on the Proposal for a European Biotech Act,N,,https://www.edpb.europa.eu/documents/legislative-opinion/edpb-edps-joint-opinion-32026-on-the-proposal-for-a-european-biotech_en
12 March 2026,"Reports, statements, and letters",EDPB letter to the European Commission on the privacy implications of recent proposed legislative changes regarding entry conditions to the United States for EEA citizens,N,,https://www.edpb.europa.eu/documents/reports-statements-and-letters/edpb-letter-to-the-european-commission-on-the-privacy_en
10 March 2026,Opinion of the Board (Art. 64),Opinion 8/2026 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the IBM Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-82026-on-the-draft-decision-of-the-dutch-supervisory_en
10 March 2026,Opinion of the Board (Art. 64),Opinion 7/2026 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the BCD Travel Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-72026-on-the-draft-decision-of-the-dutch-supervisory_en
04 March 2026,Support Pool of Experts,Data brokers market study,B,Topic 18 broker data,https://www.edpb.europa.eu/documents/support-pool-of-experts/data-brokers-market-study_en
18 February 2026,"Reports, statements, and letters",Report on stakeholder event on anonymisation and pseudonymisation of 12 December 2025,B,Topic 17,https://www.edpb.europa.eu/documents/reports-statements-and-letters/report-on-stakeholder-event-on-anonymisation-and_en
18 February 2026,Coordinated Enforcement Framework,"Coordinated Enforcement Action, implementation of the right to erasure by controllers",R,Topic 8,https://www.edpb.europa.eu/documents/coordinated-enforcement-framework/coordinated-enforcement-action-implementation-of-the-0_en
16 February 2026,"Reports, statements, and letters",Reply to the civil society open letter in response on recent spyware abuse cases in the EU,N,,https://www.edpb.europa.eu/documents/reports-statements-and-letters/reply-to-the-civil-society-open-letter-in-response-on_en
12 February 2026,"Reports, statements, and letters",EDPB Work Programme 2026-2027,R,Report: upcoming guidelines to watch,https://www.edpb.europa.eu/documents/reports-statements-and-letters/edpb-work-programme-2026-2027_en
12 February 2026,"Reports, statements, and letters",EDPB Report on the public consultation on helpful templates for organisations to facilitate their GDPR compliance,B,Templates to come,https://www.edpb.europa.eu/documents/reports-statements-and-letters/edpb-report-on-the-public-consultation-on-helpful_en
11 February 2026,Legislative opinion,EDPB-EDPS Joint opinion 2/2026 on the Proposal for a Regulation as regards the simplification of the digital legislative framework (Digital Omnibus),R,GDPR Digital Omnibus: report add-later item,https://www.edpb.europa.eu/documents/legislative-opinion/edpb-edps-joint-opinion-22026-on-the-proposal-for-a-regulation-as_en
10 February 2026,Opinion of the Board (Art. 64),Opinion 06/2026 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the ABN AMRO Bank Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-062026-on-the-draft-decision-of-the-dutch-supervisory_en
