Digest,Entry,Title,Source page,PDF to download,Link source,Verification verdict,Note
AI Act Part 2,aia-13,Repository of AI literacy practices (living repository),https://digital-strategy.ec.europa.eu/en/policies/ai-literacy-practices,https://ec.europa.eu/newsroom/dae/redirection/document/112203,corrected by verification,confirmed,"Given pdf_url (129555) actually belongs to a different entry's document, the AI-generated-content Code of Practice. The filter categories and the no-presumption-of-compliance-with-Article-4 statement both matched exactly; the 40-initiatives Q&A claim could not be traced to any so"
AI Act Part 2,aia-16,Code of Practice on transparency of AI-generated content (marking and labelling),https://digital-strategy.ec.europa.eu/en/policies/code-practice-ai-generated-content,https://ec.europa.eu/newsroom/dae/redirection/document/129555,corrected by verification,confirmed,"Given pdf_url (118480) does not match the code text; the real code PDF is 129555, found via the source page's own download link. The finalisation date, both draft dates, the kick-off plenary, the two working groups, the Section 1/2 obligations and the 2 August 2026 obligations da"
AI Act Part 2,aia-21,AI Act Service Desk: timeline for the implementation of the EU AI Act,https://ai-act-service-desk.ec.europa.eu/en/ai-act/timeline/timeline-implementation-eu-ai-act,,none available,wrong_file,The service desk timeline is a live web tool with no PDF or print/download link at all; the given pdf_url is unrelated to it. Checked all eight milestone dates directly against the live page and every one matched the takeaway exactly.
AI Act Part 2,aia-24,The enforcement framework of the AI Act,https://digital-strategy.ec.europa.eu/en/policies/enforcement-ai-act,,none available,wrong_file,"The source page (enforcement-ai-act) has no PDF at all, only a page-print option; the given Council document (Digital Omnibus text, PE-30-2026-INIT) is not linked from it and is not the same document. Content was cross-checked directly against the live page: the penalty figures a"
AI Act Part 2,aia-32,European AI Office and Commission Decision C(2024) 390 establishing it,https://digital-strategy.ec.europa.eu/en/policies/ai-office,https://ec.europa.eu/newsroom/dae/redirection/document/101625,corrected by verification,confirmed,"Given pdf_url is an unrelated EDPB opinion on data protection in AI models; the real Commission Decision PDF is at 101625 (also blocked by robots.txt). Staff count (125+), the six units, the two advisers, and the post-Omnibus exclusive-competence claim were all confirmed via the "
AI Act Part 2,aia-35,MDCG 2025-6: Interplay between the MDR/IVDR and the AI Act,https://health.ec.europa.eu/medical-devices-sector/new-regulations/guidance-mdcg-endorsed-documents-and-other-guidance_en,https://health.ec.europa.eu/document/download/b78a17d7-e3cd-4943-851d-e02a2f22bbb4_en?filename=mdcg_2025-6_en.pdf,corrected by verification,confirmed,"Given pdf_url was an unrelated EDPB paper on LLM privacy risks; the correct MDCG 2025-6 PDF was found and fetched directly. Joint MDCG/AI Board authorship, the high-risk classification under Article 6(1), the single documentation/QMS approach under Article 8, and the notified-bod"
AI Act Part 2,aia-8,Commission Guidelines on the scope of obligations for providers of general-purpose AI models,https://digital-strategy.ec.europa.eu/en/policies/guidelines-gpai-providers,https://ec.europa.eu/newsroom/dae/redirection/document/118340,corrected by verification,minor,"Given pdf_url (131215) does not match the guidelines; the correct English PDF is 118340, per the guidelines library page. Both were blocked by robots.txt, so the approval date and application dates were checked against the library page text rather than the PDF itself."
AI Act Part 2,aia-9,General-Purpose AI Code of Practice and list of signatories,https://digital-strategy.ec.europa.eu/en/policies/contents-code-gpai,https://ec.europa.eu/newsroom/dae/redirection/document/118120,corrected by verification,confirmed,Given pdf_url (128559) matches none of the three chapter PDFs on the page; used the Transparency chapter (118120) as the representative link. The 21 signatories and the note that one provider (xAI) signed only the Safety and Security chapter both matched exactly.
Cookie Compliance,cookie-144,IAB Europe TCF Policies (current version 2026-05-29.5.0.b),https://iabeurope.eu/iab-europe-transparency-consent-framework-policies/,https://iabeurope.eu/wp-content/uploads/TCF-Policies-TransparencyConsentFramework_Policies_Version-2026-05-29.5.0.b.docx.pdf,corrected by verification,confirmed,"pdf_url was an unrelated US Second Circuit court filing. Found the actual TCF Policies PDF (version 2026-05-29.5.0.b) via search; it confirms the CMP, vendor and publisher obligations quoted in the takeaway. The document itself does not mention the Belgian APD or Brussels Market "
Cookie Compliance,cookie-145,IAB Europe TCF v2.3 and the mandatory disclosed vendors segment,https://iabeurope.eu/all-you-need-to-know-about-the-transition-to-tcf-v2-3/,https://iabeurope.eu/wp-content/uploads/TCF_V-CMP_comms_TheReleaseOfTCFv.2.3-Mandatory%E2%80%98DisclosedVendorsSectionUpdateContactInfo-Reminder_190625_IABEurope.pdf,corrected by verification,confirmed,"pdf_url was an unrelated US Federal Register notice; found IAB Europe's own 19 June 2025 release notification PDF via search. It confirms the mandatory disclosedVendors segment, the 28 February 2026 CMP deadline without re-surfacing the UI, and that pre-deadline TC Strings remain"
Cookie Compliance,cookie-155,"California AB 566, the Opt Me Out Act (browser opt-out preference signal)",https://www.hunton.com/privacy-and-cybersecurity-law-blog/california-enacts-first-in-nation-law-requiring-web-browser-opt-out-preference-signal,,none available,wrong_file,"leginfo.legislature.ca.gov blocks automated fetches; no substitute PDF was found. Verified via the chaptered bill text on Legiscan and the Hunton blog cited as url: the 8 October 2025 signing date, 1 January 2027 operative date, safe harbour and CPPA rulemaking authority all matc"
Cookie Compliance,cookie-161,Google Privacy Sandbox: update on plans for Privacy Sandbox technologies (API retirement),https://privacysandbox.google.com/blog/update-on-plans-for-privacy-sandbox-technologies,https://pub.njleg.state.nj.us/Bills/2022/PL23/266_.PDF,probe,confirmed,"Given pdf_url was a New Jersey privacy statute, unrelated, and the blog post itself has no PDF. Verified against the blog page: the named APIs match, and counting sub-components listed in the post (Shared Storage, requestStorageAccessFor, Related Website Partition) reaches thirte"
Cookie Compliance,cookie-166,"W3C Tracking Preference Expression (Do Not Track), Working Group Note",https://www.w3.org/TR/tracking-dnt/,,none available,wrong_file,"The W3C Note is published only as HTML, no PDF exists to substitute. Verified the takeaway directly against the canonical https://www.w3.org/TR/tracking-dnt/ page; the closure rationale, date and status all match exactly."
