Digest,Title,Date,Type,Jurisdiction or issuer,Source URL on the site,Downloader reason,What is actually there,Form,Is the named document,Direct PDF URL to retry,Corrected source URL,Note
AI Act Part 2,"EDPS orientations on generative AI for EU institutions, bodies, offices and agencies",3 June 2024,edpb-edps,European Data Protection Supervisor,https://www.edps.europa.eu/data-protection/our-work/publications/guidelines/2024-06-03-first-edps-orientations-eu-institutions-using-generative-ai_en,403,blocked,unknown,,,,WebFetch returned 403 Forbidden; site blocks the fetcher (matches packet's 403 hint).
AI Act Part 2,CEN-CENELEC JTC 21 news: EN 18286 and the AI Act standards programme,9 July 2026,standards,CEN-CENELEC JTC 21,https://jtc21.eu/category/news/,no_pdf_link,listing,html,no,,,"This is JTC21's generic news archive/index, not a specific item on EN 18286 or the AI Act standards programme."
AI Act Part 2,EDPB Guidelines 02/2026 on anonymisation,8 July 2026,edpb-edps,European Data Protection Board,https://www.edpb.europa.eu/news/edpb-sheds-light-on-anonymisation-and-web-scraping-for-generative-ai-and-adopts-final-version_en,incomplete_read,listing,html_with_pdf,no,,,"News article announcing adoption of 3 guideline sets (anonymisation, web scraping, blockchain); the Guidelines 02/2026 PDF itself is a separate linked document, exact URL not captured."
AI Act Part 2,EDPB Guidelines 03/2026 on web scraping for the development of generative AI models,8 July 2026,edpb-edps,European Data Protection Board,https://www.edpb.europa.eu/news/edpb-sheds-light-on-anonymisation-and-web-scraping-for-generative-ai-and-adopts-final-version_en,incomplete_read,listing,html_with_pdf,no,,,"News article announcing adoption of 3 guideline sets (anonymisation, web scraping, blockchain); the Guidelines 02/2026 PDF itself is a separate linked document, exact URL not captured."
AI Act Part 2,MDCG 2025-6: Interplay between the MDR/IVDR and the AI Act,19 June 2025,qa,Medical Device Coordination Group with the AI Board,https://health.ec.europa.eu/medical-devices-sector/new-regulations/guidance-mdcg-endorsed-documents-and-other-guidance_en,no_pdf_link,listing,html,no,,,General index of all MDCG guidance docs by topic with PDF/Word/Excel links; MDCG 2025-6 entry not visible in the fetched excerpt.
AI Act Part 2,Repository of AI literacy practices (living repository),27 July 2026,reference-tool,European Commission (AI Office),https://digital-strategy.ec.europa.eu/en/policies/ai-literacy-practices,no_pdf_link,listing,html,no,,,"Interactive filterable repository interface with links to individual fact pages, not a single fixed document."
AI Act Part 2,EDPB Statement 3/2024 on data protection authorities' role in the Artificial Intelligence Act framework,16 July 2024,edpb-edps,European Data Protection Board,https://www.edpb.europa.eu/our-work-tools/our-documents/statements/statement-32024-data-protection-authorities-role-artificial-intelligence-act-framework_en,404,not_found,unknown,,,https://www.edpb.europa.eu/documents/reports-statements-and-letters/statement-32024-on-data-protection-authorities-role-in-the_en,"Server returned a straight 404, matching the downloader's own reason."
AI Act Part 2,EDPB-EDPS Joint Opinion 1/2026 on the proposal for a Digital Omnibus on AI,20 January 2026,edpb-edps,European Data Protection Board and European Data Protection Supervisor,https://www.edpb.europa.eu/our-work-tools/our-documents/edpbedps-joint-opinion/edpb-edps-joint-opinion-12026-proposal-regulation-regards_en,404,not_found,unknown,no,,https://www.edpb.europa.eu/documents/legislative-opinion/edpb-edps-joint-opinion-12026-on-the-proposal-for-a-regulation-as_en,404 - this specific joint opinion URL does not exist.
AI Act Part 2,AI Act Service Desk FAQ category on the Digital Omnibus on AI,27 July 2026,qa,European Commission (AI Office),https://ai-act-service-desk.ec.europa.eu/en/faq?combine=&faq_category_id=99,no_pdf_link,ok,html,yes,,,The named document is itself an FAQ category listing (Digital Omnibus); the filtered page renders that content as HTML with no PDF.
AI Act Part 2,AI Act Service Desk and Single Information Platform,8 October 2025,reference-tool,European Commission (AI Office),https://ai-act-service-desk.ec.europa.eu/en,no_pdf_link,ok,html,yes,,,"Live landing page for the platform itself (Explorer, Compliance Checker, Service Desk); content is HTML, nothing to download."
