Group,Group link,Jurisdiction,Date,Type,Status,Title,Topics,Source basis,Document URL,Digest entry link
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,12 February 2026,regulator guidance,in force,EDPB work programme 2026-2027 (consent or pay guidelines in preparation),"consent-or-pay, consent",primary,https://www.edpb.europa.eu/news/edpb-work-programme-2026-2027-easing-compliance-and-strengthening-cooperation-across-the_en,https://simeonatanasov.com/cookie-digest.html#ck-d001
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,10 February 2026,regulator guidance,in force,EDPB-EDPS Joint Opinion 2/2026 on the Digital Omnibus proposal,"browser-signals, analytics-exemption, consent",primary,https://www.edpb.europa.eu/our-work-tools/our-documents/edpbedps-joint-opinion/edpb-edps-joint-opinion-22026-proposal_en,https://simeonatanasov.com/cookie-digest.html#ck-d002
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,3 December 2025,regulator guidance,in force,EDPB Recommendations 2/2025 on the legal basis for requiring the creation of user accounts on e-commerce websites,"consent, dark-patterns, other",primary,https://www.edpb.europa.eu/our-work-tools/documents/public-consultations/2025/recommendations-22025-legal-basis-requiring_en,https://simeonatanasov.com/cookie-digest.html#ck-d003
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,19 November 2025,proposal,proposed,"Digital Omnibus proposal, COM(2025) 837, 2025/0360(COD): new GDPR Articles 88a and 88b on terminal equipment and machine-readable consent signals","browser-signals, analytics-exemption, consent",primary,https://data.consilium.europa.eu/doc/document/ST-15698-2025-INIT/en/pdf,https://simeonatanasov.com/cookie-digest.html#ck-d004
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,13 November 2025,court decision,decided,"CJEU, Case C-654/23, Inteligo Media SA v ANSPDCP (soft opt-in and free accounts)","email-marketing, consent",primary,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX%3A62023CJ0654,https://simeonatanasov.com/cookie-digest.html#ck-d005
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,9 October 2025,regulator guidance,proposed,EDPB and European Commission joint guidelines on the interplay between the Digital Markets Act and the GDPR (draft for consultation),"consent, consent-or-pay, other",primary,https://www.edpb.europa.eu/news/news/2025/dma-and-gdpr-edpb-and-european-commission-endorse-joint-guidelines-clarify-common_en,https://simeonatanasov.com/cookie-digest.html#ck-d006
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,17 July 2025,proposal,proposed,"Digital Fairness Act initiative (dark patterns, addictive design, consent fatigue)","dark-patterns, consent",primary,https://www.europarl.europa.eu/legislative-train/theme-protecting-our-democracy-upholding-our-values/file-digital-fairness-act,https://simeonatanasov.com/cookie-digest.html#ck-d007
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,23 April 2025,enforcement,decided,"European Commission non-compliance decision against Meta under Article 5(2) DMA (consent or pay model), fine of 200 million euro","consent-or-pay, enforcement, consent",primary,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_1085,https://simeonatanasov.com/cookie-digest.html#ck-d008
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,11 February 2025,proposal,withdrawn,"Proposal for an ePrivacy Regulation, COM(2017) 10, 2017/0003(COD)","consent, browser-signals, other",primary,https://www.europarl.europa.eu/legislative-train/theme-connected-digital-single-market/file-jd-e-privacy-reform,https://simeonatanasov.com/cookie-digest.html#ck-d009
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,7 October 2024,regulator guidance,in force,"EDPB Guidelines 2/2023 on the technical scope of Article 5(3) of the ePrivacy Directive, version 2.0","pixels-wiretap, strictly-necessary, consent",primary,https://www.edpb.europa.eu/our-work-tools/our-documents/guidelines/guidelines-22023-technical-scope-art-53-eprivacy-directive_en,https://simeonatanasov.com/cookie-digest.html#ck-d010
